ref:FR:prix-carburants,brand,name,operator,branch
74600016,Avia,Avia,SARL DKPV,
6380002,,Station-service Sospel,,
67600001,,Match,,
13600022,Esso,Esso,,
45520003,TotalEnergies,Relais D'Orléans Saran,Total,
59114007,Dyneff,Dyneff,,
67390001,Système U,Station U,,
94250001,Esso Express,,esso,
61000012,Carrefour,Carrefour,,
61400005,TotalEnergies,Total,Total,
8000011,Système U,Station U,Système U,
86700004,TotalEnergies,Total,,
14790002,TotalEnergies,TotalEnergies,,
67700001,Match,Match,,
51430007,Total,Total,,
77130012,Fulli,Fullli,Fulli,
67000002,,Match,,
29850001,Total,Total,,
3290003,Esso,Esso,,
60300007,Total,Total,,
25150006,Fulli,Fulli,Fulli,
71240008,Fulli,Fulli,Fulli,
14420003,Carrefour,Carrefour,,
29290002,Elan,Elan,,
2390002,,Origny-Sainte-Benoite,,
42190003,Intermarché,Intermarché,Groupement des Mousquetaires,
74220002,TotalEnergies,Total,Garage du Rocher,
72540003,Carrefour,Carrefour,,
72310002,TotalEnergies,Total,,
72500005,TotalEnergies,Total,,
23300011,Carrefour Market,Carrefour Market,Carrefour,
19110003,TotalEnergies,Total,,
74130018,,Les Clus,,
75016029,TotalEnergies,Total,,
74440004,TotalEnergies,TotalEnergies,,
51800014,Intermarché,Intermarché,,
37420003,Carrefour,,,
60800005,,Roady,Groupement des Mousquetaires,
47220002,,Aire C,Val fleuri SARL,
47290002,Total,Total Contact,,
47140002,Intermarché,Intermarché,,
47200004,Total,Total Contact,,
47290003,,Aire C,,
59163001,Carrefour,Carrefour,,
56270007,TotalEnergies,Total Lann Bihoué,Total,
67600006,Intermarché,Intermarché,,
51170003,Intermarché,Intermarché,,
18160002,TotalEnergies,Total,Garage du Moulinet,
45770001,Carrefour,Carrefour Saran,,
60400001,Auchan,Auchan,Auchan,
42330003,Auchan,Auchan,Auchan,
76240001,Super U,La Station U,Les Coopérateurs de Normandie Picardie,
87160002,Esso,Esso,Esso,
51420001,Carrefour,Carrefour,Carrefour,
60490001,Carrefour,,,
19100015,Esso,Esso,,
87280009,Dyneff,Dyneff,Avia,
59210003,Intermarché,Intermarché,,
30110004,Netto,,,
59630003,Intermarché,Intermarché,,
71000024,TotalEnergies,Total Contact,Total,
87290002,,Station-service Intercommunale,,
6300008,Esso,Station Esso Saint-Roch,Esso,
64400005,Intermarché,Intermarché,,
87380003,Saint Germain Distribution,Station-service,Mairie de Saint-Germain-les-Belles,
30320009,Eni,Eni,,
4200007,,Station Louis,,
87400007,U,U Express,,
63410005,Eni,Eni,,
59460002,Intermarché,Intermarché,,
59282001,Intermarché,Intermarché,,
59270001,Esso Express,Esso Express,,
70000005,TotalEnergies,Total,ETS DORMOY FRERES 1,
70004001,TotalEnergies,Total,ETS DORMOY FRERES 1,
29500004,Avia,Brétéché,,
88800001,TotalEnergies,TotalEnergies,,
87000029,Total,Total,Total,
69200001,Carrefour,Carrefour,Carrefour,
35740001,Elan,Elan,,
54000014,Carrefour,Carrefour,,
93330004,Système U,Système U,,
51200004,Esso Express,Esso Express,,
93800003,Esso,Esso,Esso,
68000020,Eni,Eni,Eni,
63450004,,,Total,
12400003,,,Groupement des Mousquetaires,
61120004,Avia,Avia,Avia,
64170013,Eni,Eni,Eni,
45430006,TotalEnergies,Total Access,,
92230003,Carrefour,Carrefour,,
86130010,Avia,Avia,Avia,
34300013,Eni,Eni,Eni,
71590001,Super U,Super U,,
47360001,,Aire C,Val Fleuri SARL,
15000019,,GAVARRY DISTRIBUTION,,
51500002,,PETRO-EST,,
1330002,Super U,Super U,,
47450003,Total,Total Contact,,
59750004,Carrefour,Carrefour Market,,
34000018,Intermarché,Intermarché,,
25750002,TotalEnergies,TotalEnergies,,
31460003,Carrefour Contact,Carrefour Contact,,
89200009,Intermarché,Intermarché,,
71490007,Carrefour,Carrefour,,
1310005,Netto,Netto,,
30900023,Auchan,Auchan,,
46300011,Total Contact,Total Contact,,
63780001,,Station Intermarché,,
67116002,E.Leclerc,E. Leclerc Express,,
77160002,E.Leclerc,E.Leclerc Station Service,,
80450001,Intermarché,Intermarché,,
42700004,E.Leclerc,Station Service E.Leclerc,,
44600010,Total,Total,,
32120002,Super U,Super U,Super U,
25420006,Carrefour Contact,Carrefour Contact,,
48600002,,ETS Pignol,,
22400009,TotalEnergies,Total Access,,
38760004,Eni,Eni,Eni,
58240003,Total Access,Total Access,Total,
9500002,,Antaq,,
38690007,Eni,Eni,Eni,
67700010,Avia,AVIA,,
12560001,,Station La Vallée du Lot,,
55110003,,Station communale de Dun-sur-Meuse,,
49230002,Carrefour,Carrefour Contact,,
35130001,Super U,Super U,,
46170001,Spar,Spar,,
67600009,E.Leclerc,Station Service E. Leclerc,,
73200006,Total,Total,,
78820001,Système U,Système U,Super U,
53100007,TotalEnergies,Total Access,,
26600011,Avia,Avia,Avia,
10270010,Carrefour,,,
67270003,Intermarché,Intermarché,,
62000015,Eni,Eni,,
67260007,TotalEnergies,TotalEnergies,Total,
2870001,Gulf,Gulf,Clid Express,
30390002,Carrefour Contact,Carrefour Contact,,
76120011,BP,BP,,
64480004,Total,Total,SARL Garage Etchegaray,
63500006,Total,,,
41600007,Eni,Eni,,
71250007,Total,Total,,
44250004,TotalEnergies,Total,,
3350002,Carrefour,Carrefour Contact,,
5200005,,Centre Auto Vianor,,
92500017,Avia,Avia,,
26400010,Auchan,Auchan,,
67640004,Total,Relais Total Des Trois Arbres,Total,
91590009,Total Access,Relais Moulin du Gué,,
22100004,Intermarché,Intermarché,,
91630007,Total Access,Relais Total De Torfou,Total,
67130003,Intermarché,Intermarché,Groupement des Mousquetaires,
62660003,E.Leclerc,Station Service E. Leclerc,,
80200005,Esso,Esso,,
77400012,Esso,Esso,Esso,
